Publication,Author,Type,Byline articles,+Probable (bal),Total (bal),Mean sentiment,Years
Relief Society Magazine,Bryce W. Anderson,Full name,5,0,5,0.025,1933–1937
Relief Society Magazine,Carolle Denton,Full name,5,0,5,0.085,1964–1968
Relief Society Magazine,Carrie Tanner,Full name,5,0,5,0.148,1925–1935
Relief Society Magazine,Claire W. Noall,Full name,5,0,5,0.059,1952–1970
Relief Society Magazine,Clapp Robinson,Full name,5,0,5,0.031,1963–1965
Relief Society Magazine,Clarissa A. Beesley,Full name,5,0,5,0.093,1923–1957
Relief Society Magazine,Diana Parrish,Full name,5,0,5,0.005,1916–1918
Relief Society Magazine,Edith Larson,Full name,5,0,5,0.049,1955–1970
Relief Society Magazine,Elaine James,Full name,5,0,5,0.005,1963–1964
Relief Society Magazine,Eleanor W. Schow,Full name,5,0,5,-0.003,1935–1966
Relief Society Magazine,Ellen L. Jakeman,Full name,5,0,5,0.044,1926–1928
Relief Society Magazine,Elsie Talmage Brandley,Full name,5,0,5,0.056,1923–1955
Relief Society Magazine,Evelyn Wooster Viner,Full name,5,0,5,0.08,1939–1952
Relief Society Magazine,Farnsworth Hase,Full name,5,0,5,0.117,1935–1969
Relief Society Magazine,Fisher Robinson,Full name,5,0,5,0.05,1966–1968
Relief Society Magazine,Frances Carter Yost,Full name,5,0,5,0.057,1951–1966
Relief Society Magazine,George H. Brimhall,Full name,5,0,5,0.105,1918–1932
Relief Society Magazine,Heber J. Grant,Full name,5,0,5,0.09,1924–1942
Relief Society Magazine,Huish Sadleir,Full name,5,0,5,0.032,1967–1969
Relief Society Magazine,Ilene H. Kingsbury,Full name,5,0,5,0.06,1958–1962
Relief Society Magazine,J. Wilson,Full name,5,0,5,0.034,1955–1970
Relief Society Magazine,James R. Clark,Full name,5,0,5,0.026,1946–1951
Relief Society Magazine,Jessie M. Robinson,Full name,5,0,5,0.058,1931–1952
Relief Society Magazine,Kate Thomas,Full name,5,0,5,0.111,1917–1928
Relief Society Magazine,Leland Hargrave Creer,Full name,5,0,5,-0.002,1944–1945
Relief Society Magazine,M. Anderson,Full name,5,0,5,0.027,1964–1967
Relief Society Magazine,M. Armstrong,Full name,5,0,5,0.066,1961–1967
Relief Society Magazine,Marijane Morris,Full name,5,0,5,0.058,1948–1957
Relief Society Magazine,Mary C. Martineau,Full name,5,0,5,0.066,1927–1957
Relief Society Magazine,Melba S. Payne,Full name,5,0,5,0.046,1947–1966
Relief Society Magazine,Merling Dennis Clyde,Full name,5,0,5,0.046,1928–1947
Relief Society Magazine,Myron E. Crandall,Full name,5,0,5,0.089,1922–1930
Relief Society Magazine,Norma A. Wrathall,Full name,5,0,5,0.033,1959–1970
Relief Society Magazine,O. Morris,Full name,5,0,5,0.071,1963–1964
Relief Society Magazine,O. Moss,Full name,5,0,5,0.039,1946–1965
Relief Society Magazine,P. Voss,Full name,5,0,5,0.079,1965–1970
Relief Society Magazine,S. Carter,Full name,5,0,5,0.051,1932–1969
Relief Society Magazine,Thalia Black,Full name,5,0,5,0.018,1952–1953
Relief Society Magazine,Thelma J. Lund,Full name,5,0,5,0.043,1953–1964
Relief Society Magazine,W.. Cannon,Full name,5,0,5,0.055,1937–1966
Relief Society Magazine,A. William Lund,Full name,4,0,4,0.043,1940–1945
Relief Society Magazine,Achsa E. Paxman,Full name,4,0,4,0.105,1935–1949
Relief Society Magazine,B. Jorgensen,Full name,4,0,4,0.049,1969–1970
Relief Society Magazine,Bertha M. Rosevear,Full name,4,0,4,0.127,1926–1946
Relief Society Magazine,Boyle Bunker,Full name,4,0,4,0.061,1957–1967
Relief Society Magazine,Brady Myers,Full name,4,0,4,0.038,1968–1970
Relief Society Magazine,C. Yost,Full name,4,0,4,0.052,1963–1970
Relief Society Magazine,Celia A. Van Cott,Full name,4,0,4,0.007,1939–1946
Relief Society Magazine,Charles W. Penrose,Full name,4,0,4,0.028,1919–1928
Relief Society Magazine,Cora Carver Ritchie,Full name,4,0,4,0.062,1931–1934
Relief Society Magazine,Delbert L. Stapley,Full name,4,0,4,0.123,1953–1966
Relief Society Magazine,Diane Jessen,Full name,4,0,4,0.07,1969–1970
Relief Society Magazine,Dorthea N. Newbold,Full name,4,0,4,0.061,1952–1963
Relief Society Magazine,E. Cutler,Full name,4,0,4,0.07,1927–1970
