word,comparison,period_a,period_b,prt,apd,jsd,n_a,n_b
family,1915-1929 vs 1950-1959,1915-1929,1950-1959,0.1772470474243164,0.17772752046585083,0.023153208537610194,250,250
family,1915-1929 vs 1960-1970,1915-1929,1960-1970,0.17336463928222656,0.1740087866783142,0.015042458455597853,250,250
family,1930-1939 vs 1940-1949,1930-1939,1940-1949,0.17376524209976196,0.1747329831123352,0.04840849142071456,250,250
family,1930-1939 vs 1950-1959,1930-1939,1950-1959,0.17731964588165283,0.17851364612579346,0.0536310371942962,250,250
family,1930-1939 vs 1960-1970,1930-1939,1960-1970,0.17297589778900146,0.17413592338562012,0.03051312031295826,250,250
family,1940-1949 vs 1950-1959,1940-1949,1950-1959,0.17654114961624146,0.1763218641281128,0.0001673592649091703,250,250
family,1940-1949 vs 1960-1970,1940-1949,1960-1970,0.17325305938720703,0.17319822311401367,0.005740120599003397,250,250
family,1950-1959 vs 1960-1970,1950-1959,1960-1970,0.17607635259628296,0.17773747444152832,0.006821595520250219,250,250
faith,1915-1929 vs 1930-1939,1915-1929,1930-1939,0.18746066093444824,0.18804234266281128,0.011472892875660274,250,250
faith,1915-1929 vs 1940-1949,1915-1929,1940-1949,0.18614327907562256,0.18644362688064575,0.009814043200077501,250,250
faith,1915-1929 vs 1950-1959,1915-1929,1950-1959,0.18909531831741333,0.18968552350997925,0.008385167023215945,250,250
faith,1915-1929 vs 1960-1970,1915-1929,1960-1970,0.1869279146194458,0.18629348278045654,0.0030996642667924547,250,250
faith,1930-1939 vs 1940-1949,1930-1939,1940-1949,0.1892337203025818,0.1896997094154358,0.041173576732436545,250,250
faith,1930-1939 vs 1950-1959,1930-1939,1950-1959,0.19109398126602173,0.19207948446273804,0.008284562793698918,250,250
faith,1930-1939 vs 1960-1970,1930-1939,1960-1970,0.18904221057891846,0.18858420848846436,0.006414529624755055,250,250
faith,1940-1949 vs 1950-1959,1940-1949,1950-1959,0.19041061401367188,0.19058090448379517,0.025179294356186023,250,250
faith,1940-1949 vs 1960-1970,1940-1949,1960-1970,0.18851041793823242,0.18749958276748657,0.01879294139969516,250,250
faith,1950-1959 vs 1960-1970,1950-1959,1960-1970,0.19011378288269043,0.18982821702957153,0.008068191601344508,250,250
